monitor_id,name,description,alert_name,alert_description
1,Logical Disk Average Disk Transfer Time,The Avg. Disk sec/Transfer (LogicalDisk\Avg. Disk sec/Transfer) for the logical disk has exceeded the threshold. The performance of applications that rely on this logical disk may be negatively impacted as the disk is taking an unusually long time to service read and write requests.,Average Disk Sec/Transfer is too high,The threshold for the Logical Disk\Avg. Disk Sec/Transfer performance counter has been exceeded. The value that exceeded the threshold is: {0} Sec/Transfer.
2,Logical Disk Disk Health,"A logical disk (file system) that was previously online is no longer available.  File system health is determined by inspecting the mount table to identify permanent, mounted file systems. If a mounted file system identified in a previous iteration is not included in the current enumeration, it is considered unhealthy.",Disk is not online,The status for disk is not healthy.
3,Logical Disk Free Space,"The amount of free space on the logical disk (file system) is low. System performance may be adversely affected, and the ability to add or modify existing files on the file system may be at risk until additional free space is made available.",% Free Space is too low,The threshold for the Logical Disk % Free Space performance counter has been exceeded. The value that exceeded the threshold is: {0}\% Free Space.
4,Logical Disk Percent Free Inodes,"The percentage of free inodes on the logical disk (file system) is low. System performance may be adversely affected, and the ability to add files on the file system may be at risk until additional inodes are made available.",% Free Inodes is too low,The threshold for the Logical Disk\\% Free inodes performance counter has been exceeded. The value that exceeded the threshold is: {0}\% Free Inodes.
5,Logical Disk Percent Free Space,"The percentage of free space on the logical disk (file system) is low. System performance may be adversely affected, and the ability to add or modify existing files on the file system may be at risk until additional free space is made available.",% Free Space is too low,The threshold for the Logical Disk\\% Free Space performance counter has been exceeded. The value that exceeded the threshold is: {0}\% Free Space.
6,Network Adapter Health,"The network adapter has been disconnected from the network and no longer has network connectivity.  Network adapter health is determined by identifying network adapters that are Up or Running (as defined by the device flags: IFF_RUNNING and IFF_UP of the ioctl: SIOCGIFFLAGS). If a network adapter that was identified as Up or Running is no longer Up or Running, it is considered unhealthy.",Network Adapter Connection Health,The status for network adapter {0} is not healthy.
7,Operating System Available MBytes,"Available megabytes of memory is low. System performance may be adversely affected.  The available megabytes memory value represents the sum of MemFree, Buffers and Cached as reported by the operating system.",Available MegaBytes Memory is too low,The threshold for the Memory\Available MBytes performance counter has been exceeded. The value that exceeded the threshold is: {0} Available MBytes.
8,Operating System Available MBytes Swap,"Available megabytes of swap space is low. System performance may be adversely affected.  The available megabytes of swap space value represents the free swap space, as reported by the operating system.",Available MegaBytes Swap Space is too low,The threshold for the Swap Space\Available MBytes performance counter has been exceeded. The value that exceeded the threshold is: {0} Available MBytes.
9,Operating System Total Percent DPC Time,"The total percentage of DPC time (for all processors) is high. System performance may be adversely affected.  Total DPC time is the time that all processors spent receiving and servicing deferred procedure calls (DPCs). DPCs are interrupts that run at a lower priority than standard interrupts. % DPC Time is a component of % Privileged Time because DPCs are executed in privileged mode. If a high % DPC Time is sustained, there may be a processor bottleneck or an application or hardware related issue that can significantly diminish overall system performance.",Total DPC Time Percentage is too high,The threshold for the Processor\\% DPC Time\_Total performance counter has been exceeded. The value that exceeded the threshold is: {0}.
10,Operating System Total Percent Interrupt Time,"The total percentage of interrupt time (for all processors) is high. System performance may be adversely affected.  Total interrupt time is the time that all processors spent receiving and servicing hardware interrupts. This value is an indirect indicator of the activity of devices that generate interrupts, such as the system clock, the mouse, storage controllers, data communication lines, network interface cards and other peripheral devices. These devices normally interrupt the processor when they have completed a task or require attention. Normal thread execution is suspended during interrupts.",Total Percentage Interrupt Time is too high,The threshold for the Processor\\% Interrupt Time\_Total performance counter has been exceeded. The value that exceeded the threshold is: {0}.
11,Operating System Total Percent Processor Time,"The total percentage of processor time (for all processors) is high. System performance may be adversely affected.  Total processor time is the time that all processors spent running a non-idle thread. Each processor has an idle thread that consumes cycles when no other threads are ready to run. This metric is the primary indicator of processor activity, and displays the average percentage of busy time observed.",Total CPU Utilization Percentage is too high,The threshold for the Processor\\% Processor Time\_Total performance counter has been exceeded. The values that exceeded the threshold are: {0}.
12,Physical Disk Average Disk Read Time,The average time per read (for the physical disk) is high. System performance may be adversely affected.  The average physical disk time per read is measured in seconds. A disk that is developing a bottleneck might cause the entire system to slow.,Average Disk Sec/Read is too high,The threshold for the Physical Disk\Avg. Disk Sec/Read performance counter has been exceeded. The value that exceeded the threshold is: {0} Sec/Read.
13,Physical Disk Average Disk Transfer Time,The average time per transfer (for the physical disk) is high. System performance may be adversely affected.  The average physical disk time per transfer is measured in seconds. A disk that is developing a bottleneck might cause the entire system to slow.,Average Disk Sec/Transfer is too high,The threshold for the Physical Disk\Avg. Disk Sec/Transfer performance counter has been exceeded. The value that exceeded the threshold is: {0} Sec/Transfer.
14,Physical Disk Average Disk Write Time,The average time per write (for the physical disk) is high. System performance may be adversely affected.  The average physical disk time per write is measured in seconds. A disk that is developing a bottleneck might cause the entire system to slow.,Average Disk Sec/Write is too high,The threshold for the Physical Disk\Avg. Disk Sec/Write performance counter has been exceeded. The value that exceeded the threshold is: {0} Sec/Write.
15,Physical Disk Disk Health,"A physical disk that was previously available is no longer available.  Physical disk health is determined by inspecting the physical disks associated with mounted file systems. If a physical disk that was available in a previous iteration is not included in the current enumeration, it is considered unhealthy.",Disk is not online,The status for disk {0} is not healthy.
16,Process Acpi,This process monitor watches for the ACPI Daemon process to be running.,Process Acpi Monitor Alert,The ACPI daemon on server {0} is not running.
17,Process Audit,This process monitor watches for the Audit Daemon process to be running.,Process Audit Monitor Alert,The Audit daemon on server {0} is not running.
18,Process Cron,This process monitor watches for the Cron Daemon process to be running.,Process Cron Monitor Alert,The Cron daemon on server {0} is not running.
19,Process Klog,This process monitor watches for the Klog Daemon process to be running.,Process Klog Monitor Alert,The Klog daemon on server {0} is not running.
20,Process Portmap,This process monitor watches for the Portmap Daemon process to be running.,Process Portmap Monitor Alert,The Portmap daemon on server {0} is not running.
21,Process Pwgr,This process monitor watches for the Pwgr Daemon process to be running.,Process Pwgr Monitor Alert,The Pwgr daemon on server {0} is not running.
22,Process Rpcbind,This process monitor watches for the Rpcbind Daemon process to be running.,Process Rpcbind Monitor Alert,The Rcpbind daemon on server {0} is not running.
23,Process Rpcidmap,This process monitor watches for the Rpcidmap Daemon process to be running.,Process Rpcidmap Monitor Alert,The Rpcidmap daemon on server {0} is not running.
24,Process Rpcstat,This process monitor watches for the Rpcstat Daemon process to be running.,Process Rpcstat Monitor Alert,The Rpcstat daemon on server {0} is not running.
25,Process Ssh,This process monitor watches for the Ssh Daemon process to be running.,Process Ssh Monitor Alert,The Ssh daemon on server {0} is not running.
26,Process Syslog,This process monitor watches for the Syslog Daemon process to be running.,Process Syslog Monitor Alert,The Syslog daemon on server {0} is not running.
27,Process Udev,This process monitor watches for the Udev Daemon process to be running.,Process Udev Monitor Alert,The Udev daemon on server {0} is not running.
28,Processor Percent DPC Time,"This monitor checks the Total Percent DPC Time for the system. If you receive an alert from this monitor, action can be required in order to bring the system back to an operational state.  Percent DPC Time is the percentage of time that the processor spends receiving and servicing deferred procedure calls (DPCs). DPCs, or soft interrupts, are interrupts that run at a lower priority than standard interrupts. If a High % DPC Time is sustained there may be a processor bottleneck or an application or hardware related issue that can significantly diminish overall system performance.",DPC Time Percentage is too high,The threshold for the Processor\\% DPC Time\ performance counter has been exceeded. The value that exceeded the threshold is: {0}.
29,Processor Percent Interrupt Time,"This monitor checks the Total Percent Interrupt Time for the system. If you receive an alert from this monitor, action can be required in order to bring the system back to an operational state.  Percent Interrupt Time is the time the processor spends receiving and servicing hardware interrupts during sample intervals. This value is an indirect indicator of the activity of devices that generate interrupts, such as the system clock, disk drivers, data communication lines, network interface cards, and other peripheral devices. These devices normally interrupt the processor when they have completed a task or require attention.",Percentage Interrupt Time is too high,The threshold for the Processor\\% Interrupt Time\ performance counter has been exceeded. The value that exceeded the threshold is: {0}.
30,Processor Percent Processor Time,"This monitor checks the Percent Processor Time for each processor. If you receive an alert from this monitor, action can be required in order to bring the system back to an operational state.  The Percent Processor Time is the percentage of time the processor was busy during the sampling interva",CPU Utilization Percentage is too high,The threshold for the Processor\\% Processor Time\ performance counter has been exceeded. The values that exceeded the threshold are: {0}\%.
31,Heartbeat Monitor,This monitor checks if the device is up,Heartbeat failure,The device is not sending heartbeats
